"","Phylum","Class","Order","Family","Genus","Species","Subspecies","Strain","GOLD_Organism_ID","GOLD_Project_ID","IMG_Genome_ID","NCBI_Taxonomy_ID","NCBI_Phylum","NCBI_Class","NCBI_Order","NCBI_Family","NCBI_Genus","NCBI_Species","Article_Url","Metabolic_Traits","AI_Predicted"
"15","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","saccharovorans","NA","345-15, DSM 16705, VKM B-2471, JCM 18335","Go0003977","Gp0003977","648028003","666510","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","saccharovorans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01322","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"16","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","sulfurireducens","NA","18D70","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01322","Fermentation:NA:NA:NA:Endogenous:Acetate;Fermentation:NA:NA:NA:Endogenous:NA","N"
"17","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobium","ferrooxidans","NA","ICP, DSM 10331","Go0001191","Gp0001191","644736322","525909","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobium","ferrooxidans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00007","NA:NA:NA:NA:NA:NA","N"
"18","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","cryptum","NA","Lhet2, ATCC 33463, DSM 2389","Go0032924","NA","NA","524","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","cryptum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00877","NA:NA:NA:NA:NA:NA","N"
"19","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","acidophilum","NA","ATCC 27807, DSM 700","Go0027893","Gp0400993","NA","76588","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","acidophilum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00877","NA:NA:NA:NA:NA:NA","N"
"20","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","multivorum","NA","AIU 301, DSM 11245, JCM 8867","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00877","NA:NA:NA:NA:NA:NA","N"
"21","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","organovorum","NA","ATCC 43141","Go0029122","NA","NA","33999","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","organovorum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00877","NA:NA:NA:NA:NA:NA","N"
"22","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","rubrum","NA","OP, ATCC 35905","Go0029509","Gp0127289","2681812815","526","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","rubrum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00877","NA:NA:NA:NA:NA:NA","N"
"23","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidipila","dinghuensis","NA","DHOF10, CGMCC 1.13007, KCTC 42631","Go0540273","Gp0491116","2882000052","1560006","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidipila","dinghuensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01666","NA:NA:NA:NA:NA:NA","N"
"24","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidipila","rosea","NA","AP8, KCTC 23427, NBRC 107607","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01666","NA:NA:NA:NA:NA:NA","N"
"25","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Acidiplasma","aeolicum","NA","VT, DSM 18409T, JCM 14615T","Go0117368","Gp0122305","2651869795","507754","Candidatus Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Acidiplasma","aeolicum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01372","NA:NA:NA:NA:NA:NA","N"
"26","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Acidiplasma","cupricumulans","NA","BH2T, DSM16651T, JCM13668T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01372","NA:NA:NA:NA:NA:NA","N"
"27","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisphaera","rubrifaciens","NA","HS-AP3, JCM 10600","Go0028936","NA","NA","50715","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisphaera","rubrifaciens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00878","NA:NA:NA:NA:NA:NA","N"
"28","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","albertensis","NA","DSM 14366, ATCC 35403","Go0028077","Gp0225628","2751185777","119978","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","albertensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01079.pub2","NA:NA:NA:NA:NA:NA","N"
"29","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","caldus","NA","KU, ATCC 51756, DSM 8584","Go0003887","Gp0003887","2811995294","637389","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","caldus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01079.pub2","NA:NA:NA:NA:NA:NA","N"
"30","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","ferridurans","NA","JCM 18981, ATCC 33020","Go0245889","Gp0405244","2824077352","920","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","ferrooxidans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01079.pub2","NA:NA:NA:NA:NA:NA","Y"
"31","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","ferriphilus","NA","M20, DSM 100412, JCM 30830","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01079.pub2","NA:NA:NA:NA:NA:NA","Y"
"32","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","ferrivorans","NA","NO-37, DSM 22755, JCM 15606","Go0032777","NA","NA","160808","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","ferrivorans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01079.pub2","NA:NA:NA:NA:NA:NA","Y"
"33","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","ferrooxidans","NA","ATCC 23270, CIP 104768, DSM 14882","Go0003886","Gp0000797, Gp0000798","643348501","243159","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","ferrooxidans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01079.pub2","NA:NA:NA:NA:NA:NA","N"
"34","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","thiooxidans","NA","ATCC 19377, CIP 104597, DSM 14887, JCM 3867, NCIMB 8343","Go0003885","Gp0003885","2510461056","637390","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","thiooxidans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01079.pub2","NA:NA:NA:NA:NA:NA","N"
"35","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidobacterium","capsulatum","NA","161, ATCC 51196, DSM 11244, JCM 7670, NCIMB 13165, NRBC 15755","Go0000799","Gp0000799","643692001","240015","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidobacterium","capsulatum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00001","NA:NA:NA:NA:NA:NA","N"
"36","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","facilis","NA","PW2, ATCC 35904","Go0044037","Gp0044037","2556921625","1408419","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","facilis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00879","NA:NA:NA:NA:NA:NA","N"
"37","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","aminolytica","NA","101, ATCC 51361, DSM 11237, JCM 8796","Go0013862","Gp0013862","2582581264","1120923","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","aminolytica","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00879","NA:NA:NA:NA:NA:NA","N"
"38","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidomonas","methanolica","NA","TK 0705, ATCC 43581, DSM 5432, IMET 10945, MB 58","Go0029423","Gp0290519","2784746772","437","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidomonas","methanolica","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00880","NA:NA:NA:NA:NA:NA","N"
"39","Actinobacteria","Actinobacteria","Acidothermales","Acidothermaceae","Acidothermus","cellulolyticus","NA","ATCC 43068, 11B","Go0000258","Gp0000258","639633001","28049","Actinobacteria","Actinobacteria","Acidothermales","Acidothermaceae","Acidothermus","cellulolyticus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00039.pub2","NA:NA:NA:NA:NA:NA","N"
"40","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","facilis","NA","ATCC 11228, CCUG 2113, DSM 649, LMG 2193","Go0029375","Gp0290521","NA","12917","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","facilis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00943","NA:NA:NA:NA:NA:NA","N"
"41","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","anthurii","NA","CFBP 3232, CIP 107058","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00943","NA:NA:NA:NA:NA:NA","N"
"42","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","delafieldii","NA","ATCC 17505, DSM 64, LMG 5943","Go0109638","Gp0109968","2636416192","47920","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","delafieldii","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00943","NA:NA:NA:NA:NA:NA","N"
"43","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","defluvii","NA","BSB411, DSM12644, CIP 106824","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00943","NA:NA:NA:NA:NA:NA","N"
"44","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","konjaci","NA","ATCC 33996, ICMP 7733, LMG 5691","Go0029982","NA","NA","32040","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","konjaci","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00943","NA:NA:NA:NA:NA:NA","N"
"45","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","temperans","NA","CCUG 11779, DSM 7270, LMG 7169","Go0033019","Gp0131607","2818991434","80878","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","temperans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00943","NA:NA:NA:NA:NA:NA","N"
"46","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","calcoaceticus","NA","ATCC 23055, CIP 81.08, DSM 30006","Go0009997","Gp0009997, Gp0034167","2547132303, 2534682017","981331","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","calcoaceticus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"47","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","baumannii","NA","ATCC 19606, CIP 70.34, DSM 30007","Go0093265, Go0032321","Gp0004000, Gp0032321, Gp0093265, Gp0358666","2534682196, 2916668946, 647533101, 2609460113","575584","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","baumannii","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"48","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","haemolyticus","NA","Mannheim 2446/60, B40, ATCC 17906, CIP 64.3, DSM 6962, NCTC 10305","Go0233695, Go0098643, Go0033080","Gp0033080, Gp0098643, Gp0341888","2537561554, 2582581441","1217659, 29430","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","haemolyticus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"49","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","johnsonii","NA","ATCC 17909, CIP 64.6, DSM 6963, NCTC 10308","Go0575825, Go0122699, Go0033179","Gp0033179, Gp0130657","2537561556, 2657245534","1217663, 40214","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","johnsonii","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"50","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","junii","NA","Mannheim 2723/59, ATCC 17908, CIP 64.5, DSM 6964, NCTC 10307","Go0034171","Gp0034171","2534682021","1217664","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","junii","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"51","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii","NA","ATCC 15309, CIP 64.10, DSM 2403, NCTC 5866","Go0009855","Gp0009855, Gp0034176","2547132300, 2537562009","981327","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"52","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","radioresistens","NA","FO-1, DSM 6976, IAM 13186","Go0009933","Gp0009933, Gp0020359, Gp0034160","2529293101, 2531839506, 2547132307","981334","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","radioresistens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"53","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","venetianus","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01203","NA:NA:NA:NA:NA:NA","N"
"54","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Acrocarpospora","pleiomorpha","NA","R-31, JCM 10983, NBRC 16267","Go0576690","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00198","NA:NA:NA:NA:NA:NA","N"
"55","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Acrocarpospora","corrugata","NA","ATCC 29331, BCRC 12360, DSM 43316, JCM 3181, KCTC 9431, NBRC 13972, NCIMB 11120","Go0576688","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00198","NA:NA:NA:NA:NA:NA","N"
"56","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Acrocarpospora","macrocephala","NA","R-55, JCM 10982, NBRC 16266","Go0576689","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00198","NA:NA:NA:NA:NA:NA","N"
"57","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","acaciae","NA","GMKU 931, BCC 28622, DSM 45503, JCM 17235, NBRC 104354, NRRL B-24610","Go0031809","NA","NA","502577","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","acaciae","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"58","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","acanthiterrae","NA","2614A723, CCTCC AA 2012001, DSM 45727, JCM 31201","Go0043932","NA","NA","1136071","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","acanthiterrae","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"59","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","amamiensis","NA","TT00-28, DSM 45447, KCTC 19537, NBRC 103682","Go0031444","NA","NA","478109","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","amamiensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"60","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","bryophytorum","NA","NEAU-TX1-15, CGMCC 4.7200, DSM 102200, JCM 30340","Go0411406","Gp0304975","2816332138","1490222","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","bryophytorum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"61","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","caesius","NA","A3015, DSM 45445, KCTC 19535, NBRC 103678","Go0031448","NA","NA","478115","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","caesius","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"62","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","coprocola","NA","TT04-09, DSM 45450, KCTC 19542, NBRC 103688","Go0031441","NA","NA","478106","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","coprocola","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"63","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","fulvus","NA","TT99-66, DSM 45446, KCTC 19536, NBRC 103680","Go0031443","NA","NA","478108","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","fulvus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"64","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","iriomotensis","NA","TT02-47, DSM 45448, KCTC 19539, NBRC 103685","Go0031442","NA","NA","478107","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","iriomotensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"65","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","liliacearum","NA","K10-0485, BCC 49424, DSM 45857, JCM 17938, NBRC 108762","Go0043933","NA","NA","1080073","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","liliacearum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"66","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","luridus","NA","TT02-15, DSM 45452, KCTC 19538, NBRC 103683","Go0031446","NA","NA","478111","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","luridus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
"67","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","oryzae","NA","GMKU 370, BCC 31373, DSM 45651, JCM 17933, NBRC 105246","Go0030927","NA","NA","502180","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","oryzae","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01752","NA:NA:NA:NA:NA:NA","Y"
